2017-01-03 17:13:59.425439 ," HCI Event: Command Complete (0x0e) plen 4     Reset (0x03|0x0003) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.425743 ," HCI Command: Read Buffer Size (0x04|0x0005) plen 0 
"
2017-01-03 17:13:59.427431 ," HCI Event: Command Complete (0x0e) plen 11     Read Buffer Size (0x04|0x0005) ncmd 1     status 0x00     ACL MTU 1024:7 SCO MTU 50:8 
"
2017-01-03 17:13:59.427725 ," HCI Command: Host Buffer Size (0x03|0x0033) plen 7     ACL MTU 1691:20 SCO MTU 255:10 
"
2017-01-03 17:13:59.430872 ," HCI Event: Command Complete (0x0e) plen 4     Host Buffer Size (0x03|0x0033) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.431475 ," HCI Command: Vendor (0x3f|0x0017) plen 5 
"
2017-01-03 17:13:59.434136 ," HCI Event: Command Complete (0x0e) plen 4     Vendor (0x3f|0x03ff) ncmd 1 
"
2017-01-03 17:13:59.434334 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.434374 ," HCI Command: Read Local Version Information (0x04|0x0001) plen 0 
"
2017-01-03 17:13:59.435118 ," HCI Event: Command Complete (0x0e) plen 12     Read Local Version Information (0x04|0x0001) ncmd 1     status 0x00     HCI Version: 4.1 (0x7) HCI Revision: 0x0     LMP Version: 4.1 (0x7) LMP Subversion: 0x7d3     Manufacturer: Qualcomm (29) 
"
2017-01-03 17:13:59.435286 ," HCI Command: Read BD ADDR (0x04|0x0009) plen 0 
"
2017-01-03 17:13:59.437550 ," HCI Event: Command Complete (0x0e) plen 10     Read BD ADDR (0x04|0x0009) ncmd 1     status 0x00 bdaddr 2C:59:8A:AC:0E:45 
"
2017-01-03 17:13:59.437862 ," HCI Command: Read Local Supported Commands (0x04|0x0002) plen 0 
"
2017-01-03 17:13:59.442024 ," HCI Event: Command Complete (0x0e) plen 68     Read Local Supported Commands (0x04|0x0002) ncmd 1     status 0x00     Commands: ffffff03ceffefffffffff7ff20fe8fe3ff783ff1c00000061ffffff7f0620f3               ff 
"
2017-01-03 17:13:59.442341 ," HCI Command: Read Local Extended Features (0x04|0x0004) plen 1     page 0 
"
2017-01-03 17:13:59.446208 ," HCI Event: Command Complete (0x0e) plen 14     Read Local Extended Features (0x04|0x0004) ncmd 1     status 0x00 page 0 max 2     Features: 0xff 0xfe 0x8f 0xfe 0xd8 0x3f 0x5b 0x87 
"
2017-01-03 17:13:59.446372 ," HCI Command: Write Simple Pairing Mode (0x03|0x0056) plen 1     mode 0x01 
"
2017-01-03 17:13:59.450455 ," HCI Event: Command Complete (0x0e) plen 4     Write Simple Pairing Mode (0x03|0x0056) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.450748 ," HCI Command: Write LE Host Supported (0x03|0x006d) plen 2 
"
2017-01-03 17:13:59.455040 ," HCI Event: Command Complete (0x0e) plen 4     Write LE Host Supported (0x03|0x006d) ncmd 1 
"
2017-01-03 17:13:59.455360 ," HCI Command: Read Local Extended Features (0x04|0x0004) plen 1     page 1 
"
2017-01-03 17:13:59.459637 ," HCI Event: Command Complete (0x0e) plen 14     Read Local Extended Features (0x04|0x0004) ncmd 1     status 0x00 page 1 max 2     Features: 0x07 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
"
2017-01-03 17:13:59.459949 ," HCI Command: Read Local Extended Features (0x04|0x0004) plen 1     page 2 
"
2017-01-03 17:13:59.464294 ," HCI Event: Command Complete (0x0e) plen 14     Read Local Extended Features (0x04|0x0004) ncmd 1     status 0x00 page 2 max 2     Features: 0x00 0x03 0x00 0x00 0x00 0x00 0x00 0x00 
"
2017-01-03 17:13:59.464603 ," HCI Command: Vendor (0x3f|0x0153) plen 0 
"
2017-01-03 17:13:59.469322 ," HCI Event: Command Complete (0x0e) plen 12     Vendor (0x3f|0x0153) ncmd 1 
"
2017-01-03 17:13:59.469635 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x00|0x0000) ncmd 1 
"
2017-01-03 17:13:59.469683 ," HCI Command: Unknown (0x03|0x007a) plen 1 
"
2017-01-03 17:13:59.474001 ," HCI Event: Command Complete (0x0e) plen 4     Unknown (0x03|0x007a) ncmd 1 
"
2017-01-03 17:13:59.474311 ," HCI Command: LE Read White List Size (0x08|0x000f) plen 0 
"
2017-01-03 17:13:59.482145 ," HCI Event: Command Complete (0x0e) plen 5     LE Read White List Size (0x08|0x000f) ncmd 1 
"
2017-01-03 17:13:59.482547 ," HCI Command: LE Read Buffer Size (0x08|0x0002) plen 0 
"
2017-01-03 17:13:59.487358 ," HCI Event: Command Complete (0x0e) plen 7     LE Read Buffer Size (0x08|0x0002) ncmd 1     status 0x00 pktlen 0x0040 maxpkt 0x10 
"
2017-01-03 17:13:59.487690 ," HCI Command: LE Read Supported States (0x08|0x001c) plen 0 
"
2017-01-03 17:13:59.492004 ," HCI Event: Command Complete (0x0e) plen 12     LE Read Supported States (0x08|0x001c) ncmd 1 
"
2017-01-03 17:13:59.492303 ," HCI Command: LE Read Local Supported Features (0x08|0x0003) plen 0 
"
2017-01-03 17:13:59.496677 ," HCI Event: Command Complete (0x0e) plen 12     LE Read Local Supported Features (0x08|0x0003) ncmd 1     status 0x00 features 0x0f00000000000000 (Link Layer supports LE Encryption) 
"
2017-01-03 17:13:59.496993 ," HCI Command: LE Set Event Mask (0x08|0x0001) plen 8     mask 0x7f06000000000000 (Reserved) 
"
2017-01-03 17:13:59.501294 ," HCI Event: Command Complete (0x0e) plen 4     LE Set Event Mask (0x08|0x0001) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.501600 ," HCI Command: Set Event Mask (0x03|0x0001) plen 8     Mask: 0xffffffffffffbf3d 
"
2017-01-03 17:13:59.506027 ," HCI Event: Command Complete (0x0e) plen 4     Set Event Mask (0x03|0x0001) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.511665 ," HCI Command: Write Inquiry Mode (0x03|0x0045) plen 1     mode 2 
"
2017-01-03 17:13:59.514629 ," HCI Event: Command Complete (0x0e) plen 4     Write Inquiry Mode (0x03|0x0045) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.515032 ," HCI Command: Write Page Scan Type (0x03|0x0047) plen 1 
"
2017-01-03 17:13:59.516710 ," HCI Event: Command Complete (0x0e) plen 4     Write Page Scan Type (0x03|0x0047) ncmd 1 
"
2017-01-03 17:13:59.516832 ," HCI Command: Write Inquiry Scan Type (0x03|0x0043) plen 1     type 1 
"
2017-01-03 17:13:59.518155 ," HCI Event: Command Complete (0x0e) plen 4     Write Inquiry Scan Type (0x03|0x0043) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.518271 ," HCI Command: Write Class of Device (0x03|0x0024) plen 3     class 0x5a020c 
"
2017-01-03 17:13:59.518753 ," HCI Event: Command Complete (0x0e) plen 4     Write Class of Device (0x03|0x0024) ncmd 1     status 0x00 
"
2017-01-03 17:13:59.518844 ," HCI Command: Write Page Timeout (0x03|0x0018) plen 2     timeout 8192 
