"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","controller","HCI_CMD","4","Sent Reset"
"2","0.071696","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)"
"3","0.072285","host","controller","HCI_CMD","4","Sent Read Buffer Size"
"4","0.074555","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)"
"5","0.074814","host","controller","HCI_CMD","11","Sent Host Buffer Size"
"6","0.075776","controller","host","HCI_EVT","7","Rcvd Command Complete (Host Buffer Size)"
"7","0.076168","host","controller","HCI_CMD","9","Sent Vendor Command 0x0017 (opcode 0xFC17)"
"8","0.077911","controller","host","HCI_EVT","7","Rcvd Command Complete (Vendor Command 0x03FF [opcode 0xFFFF])"
"9","0.078223","controller","host","HCI_EVT","7","Rcvd Command Complete (No Operation)"
"10","0.078324","host","controller","HCI_CMD","4","Sent Read Local Version Information"
"11","0.086848","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)"
"12","0.087505","host","controller","HCI_CMD","4","Sent Read BD ADDR"
"13","0.089778","controller","host","HCI_EVT","13","Rcvd Command Complete (Read BD ADDR)"
"14","0.090118","host","controller","HCI_CMD","4","Sent Read Local Supported Commands"
"15","0.091092","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)"
"16","0.091337","host","controller","HCI_CMD","5","Sent Read Local Extended Features"
"17","0.092119","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)"
"18","0.092376","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode"
"19","0.093163","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)"
"20","0.093429","host","controller","HCI_CMD","6","Sent Write LE Host Supported"
"21","0.100691","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)"
"22","0.101003","host","controller","HCI_CMD","5","Sent Read Local Extended Features"
"23","0.103421","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)"
"24","0.103801","host","controller","HCI_CMD","5","Sent Read Local Extended Features"
"25","0.105986","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)"
"26","0.106372","host","controller","HCI_CMD","4","Sent Vendor Command 0x0153 (opcode 0xFD53)"
"27","0.108450","controller","host","HCI_EVT","15","Rcvd Command Complete (Vendor Command 0x0153 [opcode 0xFD53])"
"28","0.108662","controller","host","HCI_EVT","7","Rcvd Command Complete (No Operation)"
"29","0.108960","host","controller","HCI_CMD","5","Sent Unknown 0x0c7a"
"30","0.117568","controller","host","HCI_EVT","7","Rcvd Command Complete (Unknown 0x0c7a)"
"31","0.118665","host","controller","HCI_CMD","4","Sent LE Read White List Size"
"32","0.120999","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read White List Size)"
"33","0.122057","host","controller","HCI_CMD","4","Sent LE Read Buffer Size"
"34","0.124633","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size)"
"35","0.125074","host","controller","HCI_CMD","4","Sent LE Read Supported States"
"36","0.127347","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Supported States)"
"37","0.134050","host","controller","HCI_CMD","4","Sent LE Read Local Supported Features"
"38","0.136721","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Local Supported Features)"
"39","0.137072","host","controller","HCI_CMD","12","Sent LE Set Event Mask"
